module_id,course_id,module_name,sequence_no,content_type
M001,C001,What is Gender-Based Violence,1,video
M002,C001,Recognizing Signs of Abuse,2,text
M003,C001,Myths vs Facts About GBV,3,video
M004,C002,The Art of Active Listening,1,video
M005,C002,Body Language and Non-Verbal Cues,2,video
M006,C002,Asking the Right Questions,3,video
M007,C003,How to Create a Safe Space,1,text
M008,C003,Words That Help vs Words That Harm,2,text
M009,C003,Responding to Disclosure Calmly,3,video
M010,C004,Knowing Your Limits as an Ally,1,video
M011,C004,Understanding Professional Support Services,2,video
M012,C004,How to Make a Safe Referral,3,text
M013,C005,Emotional Support Without Overstepping,1,video
M014,C005,Long-Term Allyship and Consistency,2,text
M015,C005,Taking Care of Yourself as a Supporter,3,text
